name,threshold,average_precision,roc_auc,precision,recall,f1,false_positive_rate
Random Forest,0.24,0.8472699232798016,0.9560108144870754,0.9259259259259259,0.8130081300813008,0.8658008658008658,0.00011255082373134118
Logistic Regression + SMOTE,0.98,0.7131775326078696,0.9721870214945766,0.35738831615120276,0.8455284552845529,0.5024154589371981,0.0026308755047201003
HistGradientBoosting,0.67,0.6036787080444,0.914251770931165,0.7962962962962963,0.6991869918699187,0.7445887445887446,0.00030951476526118823
